Name: RAL Design	
Description: RAL design colors	
228  234  225	RAL 130 92 05
44  50  43	RAL 140 20 05
39  51  39	RAL 140 20 10
28  54  29	RAL 140 20 20
66  72  66	RAL 140 30 05
61  74  60	RAL 140 30 10
50  77  50	RAL 140 30 20
37  80  39	RAL 140 30 30
16  82  27	RAL 140 30 40
89  96  89	RAL 140 40 05
84  98  83	RAL 140 40 10
74  101  72	RAL 140 40 20
61  104  61	RAL 140 40 30
45  107  49	RAL 140 40 40
20  109  36	RAL 140 40 50
114  121  113	RAL 140 50 05
109  123  108	RAL 140 50 10
98  126  96	RAL 140 50 20
85  129  85	RAL 140 50 30
71  132  73	RAL 140 50 40
53  135  60	RAL 140 50 50
23  137  46	RAL 140 50 60
139  147  139	RAL 140 60 05
134  149  133	RAL 140 60 10
123  152  121	RAL 140 60 20
111  156  109	RAL 140 60 30
97  159  97	RAL 140 60 40
81  162  84	RAL 140 60 50
60  164  71	RAL 140 60 60
26  167  56	RAL 140 60 70
166  173  165	RAL 140 70 05
160  175  159	RAL 140 70 10
149  179  147	RAL 140 70 20
137  183  135	RAL 140 70 30
123  186  122	RAL 140 70 40
108  189  109	RAL 140 70 50
90  192  96	RAL 140 70 60
187  203  186	RAL 140 80 10
176  207  174	RAL 140 80 20
163  210  161	RAL 140 80 30
150  214  148	RAL 140 80 40
221  229  220	RAL 140 90 05
215  231  214	RAL 140 90 10
44  78  54	RAL 150 30 20
24  81  46	RAL 150 30 30
82  98  86	RAL 150 40 10
68  102  77	RAL 150 40 20
50  105  68	RAL 150 40 30
24  108  59	RAL 150 40 40
0  111  50	RAL 150 40 50
106  123  110	RAL 150 50 10
92  127  101	RAL 150 50 20
75  131  92	RAL 150 50 30
54  134  83	RAL 150 50 40
18  137  73	RAL 150 50 50
0  139  63	RAL 150 50 60
131  149  135	RAL 150 60 10
117  153  126	RAL 150 60 20
101  157  117	RAL 150 60 30
82  160  107	RAL 150 60 40
57  164  98	RAL 150 60 50
0  167  88	RAL 150 60 60
157  176  162	RAL 150 70 10
143  180  152	RAL 150 70 20
127  184  142	RAL 150 70 30
